Kharar	23	30.746	76.647
Yadgir	19	16.770	77.138
Harda	35	22.344	77.095
Pilkhua	36	28.713	77.656
Ambajogai	16	18.733	76.386
Kapas Herd	07	28.526	77.084
Bela	36	25.921	81.996
Rabkavi	19	16.476	75.111
Bawana	07	28.798	77.034
Shahabad	36	27.643	79.940
Virudhachalam	25	11.515	79.328
Chandpur	36	29.135	78.272
Kasipalaiyam	25	11.320	77.710
Sikandarabad	36	28.452	77.700
Virudunagar	25	9.585	77.958
Pattukkottai	25	10.424	79.319
Pusad	16	19.913	77.578
Tindivanam	25	12.234	79.656
Chopda	16	21.246	75.299
Taliparamba	13	12.042	75.359
Sangareddi	40	17.625	78.087
Palghar	16	19.697	72.765
Dharapuram	25	10.738	77.532
Payyanur	13	12.094	75.202
Sheopur	35	25.665	76.696
Channapatna	19	12.651	77.207
Koyilandy	13	11.438	75.693
Faridpur	36	28.210	79.541
Barauni	34	25.471	85.976
Krishnagiri	25	12.519	78.214
Sopur	12	34.287	74.472
Rayagada	21	19.171	83.414
Zahirabad	40	17.681	77.607
Khopoli	16	18.786	73.346
Ratangarh	24	28.081	74.619
Markapur	02	15.735	79.268
Kalamassery	13	10.061	76.326
Bolpur	28	23.663	87.697
Panjim	33	15.496	73.826
Ranaghat	28	23.176	88.567
Bapatla	02	15.904	80.467
Fatehabad	10	29.515	75.456
Beypore	13	11.172	75.806
Koppal	19	15.345	76.155
Badvel	02	14.745	79.063
Dadri	36	28.553	77.554
Thenkasi	25	8.960	77.315
Suratgarh	24	29.322	73.900
Auraiya	36	26.465	79.509
Palani	25	10.450	77.521
Nallur	25	11.100	77.391
Chamrajnagar	19	11.923	76.939
Mithepur	07	28.497	77.319
Mangrol	09	21.123	70.115
Basavakalyan	19	17.874	76.950
Pul Pehlad	07	28.499	77.291
Chaibasa	38	22.550	85.802
Tripunittura	13	9.943	76.333
Shajapur	35	23.426	76.278
Mettupalayam	25	11.300	76.935
Sunam	23	30.129	75.799
Bhawanipatna	21	19.907	83.167
Ziauddin Pur	07	28.709	77.277
Jamkhandi	19	16.505	75.291
Basmat	16	19.329	77.157
Taj Pul	07	28.495	77.306
